Book_ID,Book_Title,Author,Genre,Customer_ID,Age,Gender,Country,Income_Level,Price,Quantity,Cost,Sales,Profit,Profit_Margin (%),Purchase_Date
92,Marketing 101,John Smith,Leadership,55601,41,Female,Canada,Medium,38.0,5,29.33,190.0,43.33,22.8,2025-03-04
93,Corporate Success,John Smith,Finance,85791,28,Female,Canada,Medium,76.49,7,31.81,535.43,312.76,58.41,2025-09-16
94,Financial Freedom,John Smith,Marketing,25684,59,Male,Australia,Medium,35.87,8,21.84,286.96,112.2,39.1,2023-06-28
95,Leadership Secrets,Michael Brown,Finance,41210,39,Male,USA,High,93.46,4,73.53,373.84,79.73,21.33,2025-02-12
96,Financial Freedom,Robert Wilson,Leadership,30742,68,Female,Canada,High,40.74,3,18.79,122.22,65.85,53.88,2025-10-04
97,Investment Basics,Robert Wilson,Marketing,32788,58,Male,Germany,Low,12.59,1,9.42,12.59,3.17,25.21,2025-09-06
98,Startup Guide,Michael Brown,Leadership,39755,67,Female,Australia,Low,64.82,5,26.39,324.1,192.14,59.28,2023-02-25
99,Entrepreneur Mindset,Robert Wilson,Business,11741,28,Female,Canada,Low,20.0,2,15.74,40.0,8.52,21.31,2024-01-17
100,Startup Guide,Emily Davis,Marketing,47882,47,Female,Germany,High,29.98,8,21.38,239.84,68.78,28.68,2024-01-08
101,Digital Marketing,Emily Davis,Marketing,57278,24,Female,Australia,High,86.34,4,43.63,345.36,170.83,49.46,2023-10-31
102,Investment Basics,Sarah Johnson,Leadership,17011,20,Male,UK,High,58.19,1,30.59,58.19,27.6,47.42,2025-10-12
103,Entrepreneur Mindset,John Smith,Marketing,58769,51,Female,Australia,Medium,19.84,3,10.77,59.52,27.2,45.7,2023-02-02
104,Marketing 101,Sarah Johnson,Business,34321,22,Male,Canada,High,91.37,1,62.35,91.37,29.02,31.76,2024-07-21
105,Corporate Success,John Smith,Business,45115,24,Male,USA,Low,14.61,3,11.54,43.83,9.21,21.02,2025-08-22
106,Financial Freedom,John Smith,Marketing,12620,45,Female,Germany,High,36.38,7,15.91,254.66,143.28,56.26,2023-02-18
107,Management Skills,John Smith,Business,24442,38,Female,Australia,High,72.27,6,57.76,433.62,87.03,20.07,2025-09-06
108,Management Skills,Michael Brown,Marketing,36821,61,Male,USA,High,99.0,9,72.9,891.0,234.94,26.37,2025-07-08
109,Digital Marketing,Emily Davis,Finance,37628,61,Male,Canada,High,19.94,1,10.21,19.94,9.73,48.77,2025-10-03
110,Corporate Success,Michael Brown,Marketing,66054,62,Male,UK,High,65.16,5,38.16,325.8,135.01,41.44,2025-12-07
111,Corporate Success,Robert Wilson,Finance,88551,59,Female,Australia,Low,97.7,3,72.35,293.1,76.05,25.95,2024-06-11
112,Entrepreneur Mindset,Robert Wilson,Finance,38684,31,Male,Australia,High,77.34,2,35.16,154.68,84.37,54.54,2024-01-26
113,Investment Basics,Jessica Taylor,Leadership,93731,24,Male,USA,High,80.08,6,40.78,480.48,235.8,49.08,2023-03-13
114,Startup Guide,John Smith,Finance,59886,36,Female,Germany,Low,53.43,2,41.73,106.86,23.39,21.89,2024-01-27
115,Leadership Secrets,John Smith,Marketing,38152,18,Female,Australia,Medium,50.03,6,28.15,300.18,131.3,43.74,2023-10-04
116,Digital Marketing,Jessica Taylor,Leadership,31443,18,Female,USA,Low,99.43,6,45.17,596.58,325.57,54.57,2024-03-19
117,Digital Marketing,Michael Brown,Business,21485,22,Female,UK,High,17.91,8,11.0,143.28,55.29,38.59,2023-06-21
118,Marketing 101,Emily Davis,Leadership,44167,24,Male,USA,Low,82.33,6,60.93,493.98,128.38,25.99,2025-07-05
119,Investment Basics,Jessica Taylor,Finance,63613,47,Female,Canada,Medium,75.21,4,32.98,300.84,168.92,56.15,2023-12-29
120,Corporate Success,Jessica Taylor,Leadership,63819,37,Male,Australia,Low,27.28,7,16.75,190.96,73.7,38.59,2024-01-22
121,Startup Guide,Sarah Johnson,Business,39194,68,Male,Canada,Low,58.36,5,36.85,291.8,107.55,36.86,2025-07-18
122,Startup Guide,Robert Wilson,Finance,60150,36,Female,Canada,Low,41.18,8,17.25,329.44,191.43,58.11,2025-10-05
123,Financial Freedom,Jessica Taylor,Finance,40374,54,Female,Canada,Medium,87.62,3,47.76,262.86,119.58,45.49,2024-06-28
124,Management Skills,Michael Brown,Marketing,82150,65,Male,UK,Medium,84.32,7,66.81,590.24,122.55,20.76,2024-10-31
125,Investment Basics,Robert Wilson,Business,32998,50,Male,Germany,Medium,54.89,8,32.78,439.12,176.88,40.28,2024-12-15
126,Leadership Secrets,Michael Brown,Marketing,94313,44,Male,USA,High,56.32,8,25.14,450.56,249.42,55.36,2023-04-28
127,Leadership Secrets,Emily Davis,Business,12768,68,Female,Australia,Low,36.31,2,22.4,72.62,27.83,38.32,2024-08-12
128,Business Strategy,Michael Brown,Finance,75866,53,Male,USA,Medium,53.74,5,37.27,268.7,82.37,30.65,2024-06-08
129,Digital Marketing,Robert Wilson,Marketing,15143,44,Male,UK,Medium,44.92,1,30.82,44.92,14.1,31.4,2025-08-15
130,Leadership Secrets,John Smith,Marketing,91880,53,Male,Australia,Low,61.51,2,44.16,123.02,34.71,28.21,2023-07-28
131,Investment Basics,Emily Davis,Finance,96036,50,Female,Germany,Medium,91.99,2,65.85,183.98,52.29,28.42,2025-10-09
132,Business Strategy,Michael Brown,Leadership,43603,38,Female,Australia,Medium,65.01,6,36.92,390.06,168.52,43.2,2024-02-11
133,Leadership Secrets,John Smith,Leadership,48819,24,Male,Germany,Low,94.52,7,48.38,661.64,322.95,48.81,2025-04-05
134,Startup Guide,Sarah Johnson,Business,25086,52,Male,Germany,High,58.79,4,32.99,235.16,103.18,43.88,2025-09-28
135,Financial Freedom,Sarah Johnson,Leadership,29058,33,Female,Germany,Low,14.25,4,9.62,57.0,18.53,32.51,2025-05-23
136,Entrepreneur Mindset,Emily Davis,Leadership,73068,49,Male,Canada,Low,55.66,9,33.82,500.94,196.53,39.23,2024-10-20
137,Business Strategy,Emily Davis,Finance,56843,61,Female,UK,High,38.19,6,16.16,229.14,132.19,57.69,2024-10-10
138,Financial Freedom,John Smith,Business,49288,55,Male,USA,High,50.88,2,22.95,101.76,55.87,54.9,2024-01-03
139,Financial Freedom,John Smith,Leadership,65776,57,Female,Germany,Medium,89.9,3,41.01,269.7,146.67,54.38,2025-02-06
140,Digital Marketing,Robert Wilson,Business,39808,42,Male,Australia,Medium,78.25,5,48.71,391.25,147.72,37.76,2024-03-17
141,Startup Guide,Emily Davis,Finance,86728,18,Female,Canada,High,72.41,1,37.58,72.41,34.83,48.11,2024-12-16
142,Marketing 101,Michael Brown,Finance,85576,47,Male,Germany,Low,97.21,7,49.55,680.47,333.61,49.03,2025-07-23
143,Startup Guide,Jessica Taylor,Finance,89613,22,Female,USA,Medium,37.06,7,16.12,259.42,146.61,56.51,2023-06-07
144,Entrepreneur Mindset,Robert Wilson,Finance,71428,30,Female,Germany,Low,58.13,1,31.28,58.13,26.85,46.19,2025-12-10
145,Investment Basics,John Smith,Marketing,29787,58,Female,Canada,High,87.17,1,58.83,87.17,28.34,32.51,2024-05-05
146,Entrepreneur Mindset,Sarah Johnson,Leadership,93906,41,Female,Canada,High,64.08,7,47.19,448.56,118.22,26.35,2025-02-08
147,Leadership Secrets,Jessica Taylor,Business,16712,57,Female,Canada,Low,99.45,8,55.23,795.6,353.77,44.47,2025-02-05
148,Entrepreneur Mindset,Robert Wilson,Business,71608,69,Male,Canada,High,36.85,9,15.29,331.65,194.07,58.52,2025-09-16
149,Financial Freedom,Emily Davis,Leadership,19357,19,Female,Australia,Medium,67.77,5,31.48,338.85,181.45,53.55,2024-12-24
150,Corporate Success,Jessica Taylor,Finance,38279,59,Female,Canada,High,21.57,2,15.0,43.14,13.14,30.46,2023-02-06
151,Entrepreneur Mindset,John Smith,Business,59604,37,Male,USA,High,96.12,2,60.18,192.24,71.87,37.39,2025-11-07
152,Entrepreneur Mindset,John Smith,Finance,69292,43,Male,UK,Medium,16.09,5,11.23,80.45,24.31,30.22,2023-03-19
153,Business Strategy,Jessica Taylor,Finance,61060,52,Male,UK,Low,97.4,8,65.23,779.2,257.36,33.03,2025-01-28
154,Marketing 101,Michael Brown,Finance,22377,63,Male,Germany,Low,55.62,7,27.17,389.34,199.16,51.15,2023-05-08
155,Digital Marketing,Michael Brown,Finance,36970,68,Female,USA,Low,58.99,7,34.07,412.93,174.47,42.25,2023-09-10
156,Entrepreneur Mindset,Jessica Taylor,Leadership,95396,44,Male,Australia,Medium,75.19,9,46.02,676.71,262.57,38.8,2025-01-21
157,Entrepreneur Mindset,Emily Davis,Finance,95550,64,Female,USA,Low,73.73,9,45.17,663.57,257.04,38.74,2025-02-21
158,Entrepreneur Mindset,Jessica Taylor,Leadership,87252,47,Male,Canada,Medium,33.25,2,24.13,66.5,18.24,27.43,2025-05-08
159,Corporate Success,Robert Wilson,Leadership,72349,27,Female,USA,Low,32.29,3,21.07,96.87,33.67,34.76,2023-02-03
160,Startup Guide,John Smith,Marketing,92692,35,Female,USA,Medium,67.11,5,41.58,335.55,127.64,38.04,2024-09-10
161,Startup Guide,Sarah Johnson,Marketing,55972,49,Female,Canada,High,91.52,2,48.63,183.04,85.78,46.87,2025-06-25
162,Leadership Secrets,Sarah Johnson,Leadership,71158,47,Female,Canada,High,55.39,7,40.99,387.73,100.82,26.0,2024-08-12
163,Investment Basics,Michael Brown,Finance,88024,61,Male,Australia,Low,11.81,6,8.72,70.86,18.52,26.13,2024-12-08
164,Marketing 101,Emily Davis,Marketing,22490,36,Female,Canada,Low,24.9,4,19.31,99.6,22.36,22.45,2025-05-30
165,Management Skills,Sarah Johnson,Leadership,13106,28,Female,Canada,High,15.62,6,7.5,93.72,48.7,51.96,2025-01-28
166,Financial Freedom,Michael Brown,Leadership,80122,38,Female,Germany,Medium,89.74,1,42.51,89.74,47.23,52.63,2024-10-29
167,Business Strategy,Emily Davis,Marketing,88883,38,Female,Germany,Low,38.76,3,23.34,116.28,46.25,39.77,2025-08-28
168,Management Skills,John Smith,Finance,11848,61,Male,UK,High,26.08,6,11.31,156.48,88.65,56.65,2024-05-22
169,Leadership Secrets,Emily Davis,Finance,39567,27,Male,Germany,Low,93.07,1,65.03,93.07,28.04,30.13,2023-08-22
170,Business Strategy,Michael Brown,Leadership,74237,53,Female,UK,Low,63.52,9,50.53,571.68,116.89,20.45,2024-07-07
171,Digital Marketing,Robert Wilson,Business,52060,67,Male,Canada,Low,42.84,8,17.99,342.72,198.77,58.0,2023-04-26
172,Investment Basics,Michael Brown,Business,42645,58,Male,UK,Low,63.84,8,42.01,510.72,174.67,34.2,2023-09-17
173,Entrepreneur Mindset,Michael Brown,Marketing,67326,63,Female,UK,Medium,42.6,5,19.86,213.0,113.7,53.38,2025-09-01
174,Management Skills,Jessica Taylor,Business,32746,57,Female,UK,Low,37.84,7,22.25,264.88,109.11,41.19,2024-06-30
175,Business Strategy,Robert Wilson,Marketing,78031,40,Male,USA,Medium,32.46,3,25.11,97.38,22.04,22.63,2023-06-13
176,Entrepreneur Mindset,Sarah Johnson,Business,73178,25,Female,UK,Low,96.19,8,56.18,769.52,320.09,41.6,2025-10-11
177,Entrepreneur Mindset,Jessica Taylor,Marketing,23119,61,Male,Australia,High,68.11,5,44.16,340.55,119.75,35.16,2023-07-22
178,Business Strategy,Jessica Taylor,Marketing,27352,33,Female,USA,Low,66.56,7,51.04,465.92,108.66,23.32,2024-01-14
179,Startup Guide,John Smith,Marketing,17279,60,Female,Australia,Medium,43.41,1,24.74,43.41,18.67,43.02,2024-06-26
180,Corporate Success,Emily Davis,Leadership,23748,41,Female,Germany,Low,91.48,2,68.13,182.96,46.71,25.53,2025-03-17
181,Entrepreneur Mindset,Robert Wilson,Finance,12475,18,Female,Australia,High,71.11,3,32.25,213.33,116.59,54.65,2024-01-03
182,Financial Freedom,Emily Davis,Finance,37224,48,Male,USA,Medium,98.85,7,39.7,691.95,414.06,59.84,2023-02-07
183,Investment Basics,Michael Brown,Leadership,32236,28,Female,Canada,Low,76.98,6,51.45,461.88,153.16,33.16,2024-05-24
184,Leadership Secrets,Emily Davis,Business,86305,48,Female,USA,High,25.63,8,15.39,205.04,81.93,39.96,2025-01-08
185,Startup Guide,Sarah Johnson,Marketing,41058,60,Male,UK,Low,28.7,4,15.61,114.8,52.38,45.63,2023-03-09
186,Management Skills,Emily Davis,Leadership,93820,43,Female,USA,Low,65.11,2,33.3,130.22,63.63,48.86,2024-10-08
187,Startup Guide,Jessica Taylor,Finance,50513,26,Female,UK,Low,11.15,4,6.1,44.6,20.2,45.3,2025-03-15
188,Business Strategy,Robert Wilson,Business,99541,48,Female,Australia,Low,38.28,4,19.31,153.12,75.9,49.57,2024-11-03
189,Startup Guide,John Smith,Finance,58875,64,Male,Canada,Low,85.94,3,47.13,257.82,116.44,45.16,2025-06-27
190,Startup Guide,John Smith,Business,23670,66,Male,USA,High,58.91,5,27.7,294.55,156.07,52.99,2025-10-07
191,Digital Marketing,Jessica Taylor,Business,10685,36,Female,UK,Low,17.18,2,7.88,34.36,18.6,54.14,2024-05-23
192,Financial Freedom,Robert Wilson,Leadership,70802,64,Male,USA,High,82.63,7,35.8,578.41,327.79,56.67,2023-02-15
193,Financial Freedom,John Smith,Marketing,80153,55,Male,Australia,Medium,44.04,7,26.39,308.28,123.55,40.08,2023-06-12
194,Management Skills,Sarah Johnson,Finance,35474,56,Female,Canada,Low,35.77,9,18.11,321.93,158.92,49.36,2024-12-15
195,Entrepreneur Mindset,Sarah Johnson,Leadership,86767,66,Male,Australia,Medium,53.65,4,23.93,214.6,118.87,55.39,2024-12-10
196,Financial Freedom,Emily Davis,Marketing,96173,20,Male,Canada,Medium,74.21,7,58.71,519.47,108.53,20.89,2023-07-17
197,Marketing 101,Robert Wilson,Business,55937,50,Female,USA,Medium,80.22,4,39.54,320.88,162.71,50.71,2024-12-31
198,Financial Freedom,Robert Wilson,Business,43670,20,Male,Australia,Low,10.96,8,8.31,87.68,21.18,24.16,2024-07-29
199,Entrepreneur Mindset,Jessica Taylor,Marketing,50982,60,Female,Australia,High,28.02,9,20.38,252.18,68.76,27.27,2023-01-08
200,Entrepreneur Mindset,Jessica Taylor,Finance,75762,46,Male,Canada,Low,64.24,2,26.19,128.48,76.1,59.23,2024-10-26
201,Startup Guide,Emily Davis,Finance,99839,43,Female,Australia,Low,65.4,2,40.4,130.8,50.0,38.22,2023-07-17
202,Corporate Success,Jessica Taylor,Finance,25621,40,Male,Canada,Low,84.62,1,64.72,84.62,19.9,23.52,2024-10-13
203,Corporate Success,Sarah Johnson,Marketing,27315,63,Male,Australia,Medium,12.04,4,7.86,48.16,16.71,34.69,2024-01-15
204,Startup Guide,Robert Wilson,Leadership,25087,66,Female,USA,High,72.18,7,41.05,505.26,217.93,43.13,2023-06-18
205,Entrepreneur Mindset,Jessica Taylor,Finance,43176,32,Male,Canada,High,19.4,3,12.52,58.2,20.64,35.47,2025-02-13
206,Management Skills,John Smith,Business,85293,60,Female,Germany,Low,67.13,4,52.04,268.52,60.38,22.48,2024-05-03
207,Marketing 101,Sarah Johnson,Finance,99515,29,Male,UK,Medium,90.09,2,50.15,180.18,79.89,44.34,2024-02-07
208,Corporate Success,Emily Davis,Business,39005,54,Male,Germany,High,52.39,6,22.84,314.34,177.27,56.39,2025-06-25
209,Leadership Secrets,Michael Brown,Finance,25259,67,Male,Australia,Low,71.04,7,41.98,497.28,203.45,40.91,2025-10-01
210,Startup Guide,Sarah Johnson,Marketing,62458,54,Female,Australia,High,52.37,9,30.43,471.33,197.46,41.89,2025-07-30
211,Startup Guide,Michael Brown,Marketing,11016,63,Female,USA,Medium,87.03,3,36.47,261.09,151.69,58.1,2024-01-17
