Book,Author,Units_Sold,Price_per_Unit,Age_Group,Gender,Country,Customer_Type,Total_Sales,Cost_per_Unit,Total_Cost,Profit,Profit_Margin (%)
Deep Learning with Python - Chollet,Seth Weidman,37,69.44,18-25,Female,USA,Professional,2569.2799999999997,47.368437639423036,1752.6321926586522,816.6478073413475,31.78508404460968
Deep Learning from Scratch - Weidman,Seth Weidman,33,61.98,18-25,Male,UK,Professional,2045.34,42.50900263223784,1402.7970868638486,642.5429131361514,31.41496832488248
Deep Learning - Goodfellow,Aston Zhang,36,63.82,18-25,Female,Australia,Student,2297.52,30.110255958235726,1083.969214496486,1213.550785503514,52.82003140357925
Dive into Deep Learning - Zhang,Andrew Trask,3,36.58,36-45,Other,USA,Professional,109.74,21.48102067158101,64.44306201474303,45.29693798525696,41.276597398630365
Neural Networks and Deep Learning - Nielsen,Michael Nielsen,9,41.71,18-25,Female,Australia,Researcher,375.39,22.61611629278162,203.54504663503457,171.84495336496542,45.777712076764274
Deep Learning with PyTorch - Stevens,Nithin Buduma,8,69.34,36-45,Male,France,Engineer,554.72,45.95200202404618,367.61601619236944,187.10398380763058,33.729446172416814
Deep Learning - Goodfellow,Eli Stevens,33,78.54,60+,Other,Canada,Student,2591.82,37.81145402407237,1247.7779827943882,1344.042017205612,51.8570740717184
Dive into Deep Learning - Zhang,Ian Goodfellow,6,43.13,36-45,Female,France,Engineer,258.78000000000003,17.299905442004643,103.79943265202786,154.98056734797217,59.88892779502749
Hands-On Machine Learning - Geron,Michael Nielsen,41,43.58,60+,Other,USA,Researcher,1786.78,19.557325206347322,801.8503334602402,984.9296665397598,55.12316382205754
Fundamentals of Deep Learning - Buduma,Nithin Buduma,39,53.64,60+,Female,USA,Student,2091.96,27.080520916417957,1056.1403157403004,1035.8196842596997,49.51431596491805
Grokking Deep Learning - Trask,Aurelien Geron,4,79.19,36-45,Other,USA,Engineer,316.76,39.1765868799575,156.70634751983,160.05365248017,50.528366106885336
Deep Learning with PyTorch - Stevens,David Foster,13,43.45,26-35,Male,Germany,Engineer,564.85,27.69541565076682,360.0404034599686,204.8095965400314,36.25911242631343
Hands-On Machine Learning - Geron,Seth Weidman,49,50.35,46-60,Female,Canada,Researcher,2467.15,30.41986886202714,1490.57357423933,976.5764257606702,39.58318001583488
Deep Learning from Scratch - Weidman,Eli Stevens,2,74.57,18-25,Female,Australia,Engineer,149.14,36.529374426104866,73.05874885220973,76.08125114779025,51.01331041155308
Hands-On Machine Learning - Geron,Seth Weidman,5,30.15,46-60,Male,Netherlands,Researcher,150.75,16.2002928262684,81.00146413134199,69.74853586865801,46.2676854850136
Fundamentals of Deep Learning - Buduma,Eli Stevens,44,31.99,18-25,Other,USA,Professional,1407.56,13.713080720688142,603.3755517102783,804.1844482897217,57.133226881249946
Deep Learning from Scratch - Weidman,Aston Zhang,27,60.2,18-25,Male,USA,Researcher,1625.4,40.30052479345102,1088.1141694231774,537.2858305768227,33.05560665539699
Deep Learning with PyTorch - Stevens,Andrew Trask,32,75.37,60+,Male,Australia,Professional,2411.84,51.2988907056058,1641.5645025793856,770.2754974206146,31.93725526654399
Fundamentals of Deep Learning - Buduma,Eli Stevens,21,41.94,18-25,Other,Netherlands,Student,880.74,29.10388808216296,611.1816497254222,269.55835027457783,30.605893938571864
Deep Learning with Python - Chollet,Seth Weidman,8,53.48,18-25,Male,France,Engineer,427.84,35.327061617127974,282.6164929370238,145.22350706297618,33.94341507642488
Grokking Deep Learning - Trask,Aston Zhang,38,52.52,36-45,Female,France,Researcher,1995.7600000000002,23.74892774654173,902.4592543685858,1093.3007456314144,54.78117336911323
Deep Learning with PyTorch - Stevens,Eli Stevens,8,53.65,46-60,Female,USA,Researcher,429.2,22.203532397130218,177.62825917704174,251.57174082295825,58.61410550395113
Deep Learning with Python - Chollet,Aurelien Geron,3,61.13,36-45,Female,UK,Engineer,183.39000000000001,35.08122438402103,105.24367315206308,78.14632684793693,42.61209817761979
Dive into Deep Learning - Zhang,Andrew Trask,44,53.49,18-25,Male,Germany,Engineer,2353.56,36.04057286639327,1585.7852061213039,767.7747938786961,32.62184919350669
Deep Learning with PyTorch - Stevens,Eli Stevens,3,52.37,60+,Female,France,Student,157.10999999999999,23.734367243036218,71.20310172910865,85.90689827089133,54.67945915020771
Dive into Deep Learning - Zhang,Aston Zhang,22,53.71,36-45,Female,UK,Student,1181.6200000000001,21.597482483338798,475.14461463345356,706.4753853665466,59.788712561275744
Deep Learning from Scratch - Weidman,Michael Nielsen,6,59.54,36-45,Female,Germany,Researcher,357.24,38.20377037422795,229.2226222453677,128.01737775463232,35.83511861903268
Deep Learning with Python - Chollet,Francois Chollet,2,56.85,26-35,Female,USA,Student,113.7,24.04975039551025,48.0995007910205,65.6004992089795,57.696129471397974
Grokking Deep Learning - Trask,Nithin Buduma,23,72.71,18-25,Female,Canada,Professional,1672.33,38.108169674053485,876.4879025032302,795.8420974967697,47.58881904269909
Fundamentals of Deep Learning - Buduma,Francois Chollet,44,32.47,60+,Female,India,Student,1428.6799999999998,19.601041551555955,862.445828268462,566.2341717315378,39.63337988433644
Generative Deep Learning - Foster,Francois Chollet,2,71.67,36-45,Male,India,Student,143.34,33.75938488489333,67.51876976978666,75.82123023021335,52.8960724363146
Hands-On Machine Learning - Geron,Ian Goodfellow,38,72.2,36-45,Female,USA,Researcher,2743.6,30.698629124256104,1166.547906721732,1577.0520932782679,57.48112309659818
Deep Learning - Goodfellow,Aurelien Geron,17,44.25,60+,Female,France,Professional,752.25,27.92203180775112,474.67454073176907,277.57545926823093,36.89936314632515
Grokking Deep Learning - Trask,Michael Nielsen,35,53.14,18-25,Other,UK,Student,1859.9,31.302251203269215,1095.5787921144224,764.3212078855777,41.09474745338876
Deep Learning with Python - Chollet,David Foster,34,51.93,26-35,Male,Canada,Professional,1765.62,36.171693257819925,1229.8375707658774,535.7824292341224,30.345285465395865
Generative Deep Learning - Foster,Eli Stevens,23,40.93,36-45,Male,Australia,Professional,941.39,20.59975834113578,473.79444184612294,467.59555815387705,49.67075900040122
Grokking Deep Learning - Trask,Nithin Buduma,30,49.84,26-35,Male,Germany,Professional,1495.2,20.85947119981107,625.784135994332,869.415864005668,58.147128411294005
Deep Learning with Python - Chollet,Andrew Trask,8,32.22,46-60,Male,USA,Engineer,257.76,19.98622744155097,159.88981953240776,97.87018046759223,37.96949893994112
Neural Networks and Deep Learning - Nielsen,Michael Nielsen,22,43.89,18-25,Female,Canada,Engineer,965.58,24.425663926040684,537.3646063728951,428.21539362710496,44.34799743440263
Neural Networks and Deep Learning - Nielsen,Seth Weidman,44,70.83,46-60,Female,Netherlands,Engineer,3116.52,32.86237033808773,1445.9442948758601,1670.5757051241399,53.603882058325944
Dive into Deep Learning - Zhang,David Foster,36,44.23,46-60,Other,Canada,Engineer,1592.28,28.06476195510415,1010.3314303837494,581.9485696162506,36.54813032985722
Grokking Deep Learning - Trask,Ian Goodfellow,5,70.91,46-60,Other,France,Researcher,354.54999999999995,32.69849045048585,163.49245225242925,191.0575477475707,53.88733542450169
Neural Networks and Deep Learning - Nielsen,Ian Goodfellow,13,56.58,18-25,Male,Netherlands,Student,735.54,27.056470929134267,351.7341220787455,383.8058779212545,52.180150355011904
Deep Learning with Python - Chollet,Michael Nielsen,29,73.99,18-25,Other,Germany,Engineer,2145.71,31.64985632127806,917.8458333170638,1227.8641666829362,57.224143368998426
Dive into Deep Learning - Zhang,Aston Zhang,31,58.74,60+,Other,Netherlands,Researcher,1820.94,30.534795621081717,946.5786642535332,874.3613357464668,48.01703162907437
Deep Learning with Python - Chollet,Francois Chollet,47,31.48,26-35,Male,Canada,Student,1479.56,16.548367590864984,777.7732767706543,701.7867232293456,47.43212328187742
Dive into Deep Learning - Zhang,Seth Weidman,16,63.77,26-35,Male,France,Engineer,1020.32,35.352081611153295,565.6333057784527,454.6866942215473,44.56314628955106
Grokking Deep Learning - Trask,Ian Goodfellow,42,32.24,60+,Other,Netherlands,Student,1354.0800000000002,19.753102391621177,829.6303004480894,524.4496995519107,38.73107198628668
Generative Deep Learning - Foster,Nithin Buduma,30,52.53,60+,Female,UK,Engineer,1575.9,35.29124453507483,1058.737336052245,517.1626639477552,32.81697213958723
Fundamentals of Deep Learning - Buduma,Ian Goodfellow,16,76.47,46-60,Other,France,Researcher,1223.52,33.74775796258522,539.9641274013635,683.5558725986365,55.86797703336573
Deep Learning with PyTorch - Stevens,Andrew Trask,12,38.26,60+,Other,UK,Professional,459.12,15.927807472845885,191.13368967415062,267.9863103258494,58.36955704954029
Generative Deep Learning - Foster,Eli Stevens,17,49.49,36-45,Female,UK,Professional,841.33,20.071133225175068,341.20926482797614,500.1207351720239,59.44406299217
Deep Learning from Scratch - Weidman,Ian Goodfellow,16,66.49,26-35,Female,Netherlands,Student,1063.84,29.460815628338676,471.3730500534188,592.466949946581,55.69135865793551
Deep Learning with Python - Chollet,Andrew Trask,12,74.11,60+,Male,Netherlands,Researcher,889.3199999999999,44.27219091738289,531.2662910085947,358.0537089914052,40.261515426551206
Deep Learning from Scratch - Weidman,Michael Nielsen,8,63.55,36-45,Male,Australia,Professional,508.4,39.2893504920032,314.3148039360256,194.08519606397437,38.175687660105105
Generative Deep Learning - Foster,Michael Nielsen,20,42.91,36-45,Other,Australia,Engineer,858.1999999999999,27.288688050247515,545.7737610049503,312.42623899504963,36.404828594156335
Dive into Deep Learning - Zhang,David Foster,3,63.73,36-45,Female,Canada,Professional,191.19,30.151457303399127,90.45437191019738,100.73562808980262,52.68875364286972
Deep Learning with PyTorch - Stevens,Ian Goodfellow,16,44.84,36-45,Male,France,Student,717.44,22.05089702799397,352.8143524479035,364.62564755209655,50.8231556021544
Deep Learning with PyTorch - Stevens,Nithin Buduma,30,65.92,46-60,Other,Australia,Student,1977.6000000000001,35.92247075070332,1077.6741225210997,899.9258774789005,45.505960633035016
Deep Learning - Goodfellow,Ian Goodfellow,45,77.7,36-45,Female,UK,Researcher,3496.5,32.552797987811886,1464.8759094515349,2031.6240905484651,58.104507094193195
Deep Learning with PyTorch - Stevens,Nithin Buduma,23,66.07,46-60,Other,Australia,Student,1519.61,38.54143613157011,886.4530310261125,633.1569689738874,41.66575430366261
Fundamentals of Deep Learning - Buduma,Aurelien Geron,28,73.14,46-60,Male,Germany,Professional,2047.92,50.84111410891347,1423.5511950495772,624.3688049504228,30.487948989727276
Deep Learning with PyTorch - Stevens,David Foster,40,30.11,36-45,Male,Canada,Professional,1204.4,15.303163410677497,612.1265364270998,592.2734635729003,49.17581065865993
Generative Deep Learning - Foster,Aurelien Geron,5,65.88,26-35,Female,France,Professional,329.4,41.23127749770611,206.15638748853056,123.24361251146942,37.414575747258475
Deep Learning - Goodfellow,Ian Goodfellow,20,71.48,36-45,Other,France,Professional,1429.6000000000001,39.314727285474675,786.2945457094935,643.3054542905066,44.99898253291176
Generative Deep Learning - Foster,David Foster,40,32.03,36-45,Female,India,Researcher,1281.2,14.040144012458917,561.6057604983566,719.5942395016434,56.16564466918853
Generative Deep Learning - Foster,Aurelien Geron,44,73.58,36-45,Male,France,Engineer,3237.52,42.284309444868285,1860.5096155742044,1377.0103844257956,42.53287653592242
Hands-On Machine Learning - Geron,Francois Chollet,1,42.83,26-35,Male,Canada,Engineer,42.83,20.98508447523779,20.98508447523779,21.844915524762207,51.00377194667804
Deep Learning - Goodfellow,Ian Goodfellow,30,63.26,18-25,Other,Germany,Researcher,1897.8,25.95690409002973,778.7071227008919,1119.092877299108,58.96790374639625
Generative Deep Learning - Foster,Aurelien Geron,21,70.02,18-25,Other,France,Student,1470.4199999999998,41.34533391085332,868.2520121279197,602.1679878720802,40.95210809646769
Hands-On Machine Learning - Geron,Francois Chollet,20,63.13,46-60,Other,India,Engineer,1262.6000000000001,41.51931976386101,830.3863952772202,432.2136047227799,34.23202952025818
Hands-On Machine Learning - Geron,Francois Chollet,6,34.61,46-60,Female,Canada,Student,207.66,17.42374448972139,104.54246693832835,103.11753306167165,49.65690699300378
Deep Learning - Goodfellow,Michael Nielsen,22,59.82,26-35,Other,UK,Engineer,1316.04,30.93224389028038,680.5093655861683,635.5306344138316,48.29113358361688
Deep Learning from Scratch - Weidman,Ian Goodfellow,18,57.48,60+,Other,USA,Student,1034.6399999999999,38.35677790108659,690.4220022195586,344.21799778044124,33.26934951098365
Dive into Deep Learning - Zhang,Francois Chollet,8,75.02,18-25,Male,USA,Researcher,600.16,48.31907995364571,386.5526396291657,213.60736037083427,35.59173559897932
Fundamentals of Deep Learning - Buduma,Michael Nielsen,39,50.21,46-60,Male,UK,Professional,1958.19,30.85333438116042,1203.2800408652563,754.9099591347438,38.55141529344669
Dive into Deep Learning - Zhang,Aurelien Geron,32,46.05,18-25,Other,Australia,Student,1473.6,21.857131435749736,699.4282059439915,774.1717940560084,52.53608808740557
Deep Learning with PyTorch - Stevens,Andrew Trask,33,67.49,26-35,Other,France,Professional,2227.1699999999996,45.42515661310964,1499.0301682326183,728.1398317673813,32.693500351000665
Fundamentals of Deep Learning - Buduma,Ian Goodfellow,16,50.63,26-35,Male,Netherlands,Student,810.08,22.59742094126311,361.55873506020976,448.5212649397903,55.367527273823605
Deep Learning with PyTorch - Stevens,David Foster,12,62.3,60+,Other,USA,Student,747.5999999999999,36.63434100790787,439.6120920948945,307.98790790510543,41.19688441748334
Generative Deep Learning - Foster,Nithin Buduma,38,62.32,60+,Female,Australia,Student,2368.16,25.466466871497715,967.7257411169132,1400.4342588830866,59.13596458360443
Deep Learning with Python - Chollet,Nithin Buduma,34,74.4,26-35,Female,USA,Student,2529.6000000000004,44.12782607717279,1500.346086623875,1029.2539133761254,40.68840581025163
Deep Learning - Goodfellow,Aurelien Geron,14,59.93,46-60,Female,UK,Student,839.02,28.954778302331135,405.3668962326359,433.6531037673641,51.685669443799206
Fundamentals of Deep Learning - Buduma,Aston Zhang,36,55.11,18-25,Other,France,Professional,1983.96,29.47850946377844,1061.226340696024,922.7336593039761,46.509690684488405
Fundamentals of Deep Learning - Buduma,Aston Zhang,33,36.94,36-45,Male,France,Student,1219.02,18.60222176589626,613.8733182745766,605.1466817254234,49.64206343828841
Generative Deep Learning - Foster,Aurelien Geron,23,35.79,60+,Other,Australia,Professional,823.17,16.170889291815556,371.93045371175776,451.2395462882422,54.8172973126137
Deep Learning from Scratch - Weidman,Francois Chollet,45,37.72,36-45,Other,UK,Researcher,1697.3999999999999,22.126334620702277,995.6850579316025,701.7149420683974,41.34057629718378
Hands-On Machine Learning - Geron,Ian Goodfellow,2,38.59,46-60,Male,Australia,Engineer,77.18,25.64663100186281,51.29326200372562,25.886737996274384,33.54073334578179
Generative Deep Learning - Foster,Nithin Buduma,41,61.89,60+,Male,France,Student,2537.4900000000002,42.56331712645738,1745.0960021847525,792.3939978152478,31.227472731527918
Neural Networks and Deep Learning - Nielsen,Nithin Buduma,21,67.05,36-45,Male,Netherlands,Engineer,1408.05,30.689047094841,644.469988991661,763.5800110083389,54.22960910538255
Hands-On Machine Learning - Geron,Francois Chollet,2,56.5,46-60,Female,France,Professional,113.0,34.7594685203674,69.5189370407348,43.4810629592652,38.4788167781108
Deep Learning - Goodfellow,Nithin Buduma,27,71.45,18-25,Other,Canada,Researcher,1929.15,42.820114323192804,1156.1430867262056,773.0069132737945,40.06981900182953
Hands-On Machine Learning - Geron,David Foster,9,79.56,46-60,Male,Netherlands,Researcher,716.04,40.0197410815659,360.17766973409306,355.8623302659069,49.698666312762825
Deep Learning from Scratch - Weidman,Ian Goodfellow,1,71.0,60+,Other,Australia,Researcher,71.0,28.80681294623436,28.80681294623436,42.19318705376564,59.42702401938823
Hands-On Machine Learning - Geron,Eli Stevens,11,64.74,26-35,Female,Canada,Engineer,712.14,39.293125605310486,432.2243816584153,279.91561834158466,39.30626258061402
Deep Learning - Goodfellow,Nithin Buduma,3,56.62,18-25,Female,UK,Professional,169.85999999999999,38.70817570146367,116.124527104391,53.73547289560898,31.635154183214993
Deep Learning from Scratch - Weidman,Aurelien Geron,23,52.44,36-45,Male,Germany,Student,1206.12,30.920513757977027,711.1718164334716,494.9481835665283,41.03639634253046
Dive into Deep Learning - Zhang,David Foster,26,34.22,60+,Male,USA,Student,889.72,18.15671510651025,472.07459276926653,417.6454072307335,46.94121827437098
Fundamentals of Deep Learning - Buduma,Nithin Buduma,4,49.97,26-35,Other,Canada,Professional,199.88,27.86058202662742,111.44232810650968,88.43767189349032,44.245383176651146
Fundamentals of Deep Learning - Buduma,David Foster,18,75.51,46-60,Male,USA,Engineer,1359.18,34.72619137992012,625.0714448385621,734.108555161438,54.011135770202465
Deep Learning with PyTorch - Stevens,Michael Nielsen,6,70.4,26-35,Other,India,Student,422.40000000000003,44.011492738478935,264.06895643087364,158.3310435691264,37.48367508738787
Dive into Deep Learning - Zhang,Eli Stevens,35,40.8,60+,Male,UK,Professional,1428.0,25.45617871932055,890.9662551762193,537.0337448237807,37.607405099704536
Dive into Deep Learning - Zhang,Seth Weidman,22,53.33,60+,Other,Germany,Student,1173.26,23.660131288898413,520.5228883557651,652.7371116442349,55.634480988377256
Hands-On Machine Learning - Geron,Aurelien Geron,43,70.84,26-35,Other,India,Researcher,3046.1200000000003,46.99479658488276,2020.7762531499586,1025.3437468500417,33.66064852501023
Fundamentals of Deep Learning - Buduma,Aurelien Geron,15,33.37,46-60,Other,India,Student,500.54999999999995,16.04285848186726,240.6428772280089,259.90712277199106,51.92430781580083
Deep Learning - Goodfellow,Ian Goodfellow,22,49.37,26-35,Other,France,Engineer,1086.1399999999999,34.2961945185322,754.5162794077083,331.62372059229153,30.532318171901558
Grokking Deep Learning - Trask,David Foster,37,72.59,60+,Female,India,Professional,2685.83,37.37447893668911,1382.855720657497,1302.974279342503,48.51290957888262
Grokking Deep Learning - Trask,Francois Chollet,42,50.19,60+,Other,UK,Engineer,2107.98,22.754400272365363,955.6848114393453,1152.2951885606549,54.663478237965016
Deep Learning from Scratch - Weidman,Aurelien Geron,12,33.88,36-45,Male,Canada,Professional,406.56000000000006,17.12688321171721,205.5225985406065,201.03740145939355,49.44839665963044
Fundamentals of Deep Learning - Buduma,David Foster,47,57.13,36-45,Female,UK,Researcher,2685.11,30.3962506535412,1428.6237807164364,1256.4862192835637,46.7945901390842
Fundamentals of Deep Learning - Buduma,David Foster,49,73.09,18-25,Female,Canada,Professional,3581.4100000000003,30.755711539410694,1507.0298654311239,2074.380134568876,57.920766808851155
Grokking Deep Learning - Trask,Andrew Trask,42,59.51,60+,Other,India,Student,2499.42,34.12693275997938,1433.331175919134,1066.088824080866,42.653448563301325
Fundamentals of Deep Learning - Buduma,Andrew Trask,38,41.31,36-45,Female,India,Student,1569.7800000000002,23.930458827295283,909.3574354372207,660.4225645627795,42.071026803932995
Hands-On Machine Learning - Geron,Seth Weidman,18,49.21,26-35,Other,Netherlands,Researcher,885.78,30.592830312324256,550.6709456218366,335.10905437816336,37.83208633951583
Neural Networks and Deep Learning - Nielsen,Michael Nielsen,45,52.51,46-60,Male,Germany,Professional,2362.95,21.46351331325608,965.8580990965236,1397.0919009034762,59.12490323127769
Deep Learning with Python - Chollet,Seth Weidman,35,58.96,26-35,Other,Canada,Researcher,2063.6,33.15742153690559,1160.5097537916956,903.0902462083043,43.762853566985086
Dive into Deep Learning - Zhang,Nithin Buduma,30,67.97,46-60,Female,India,Student,2039.1,28.266835471822116,848.0050641546635,1191.0949358453363,58.412777001880066
Deep Learning with PyTorch - Stevens,Francois Chollet,24,34.94,36-45,Male,France,Engineer,838.56,21.32539371369046,511.80944912857103,326.7505508714289,38.9656734010004
Deep Learning from Scratch - Weidman,Nithin Buduma,42,74.48,18-25,Other,Netherlands,Researcher,3128.1600000000003,31.0371861125028,1303.5618167251175,1824.5981832748828,58.32816042897046
Neural Networks and Deep Learning - Nielsen,Aston Zhang,30,30.62,26-35,Male,USA,Engineer,918.6,20.623132014866236,618.693960445987,299.906039554013,32.64816454975103
Grokking Deep Learning - Trask,Nithin Buduma,14,48.5,26-35,Male,Netherlands,Engineer,679.0,29.615301348169425,414.61421887437194,264.38578112562806,38.93752299346511
Dive into Deep Learning - Zhang,Ian Goodfellow,6,31.37,26-35,Female,Germany,Professional,188.22,17.323045079216413,103.93827047529848,84.28172952470152,44.77830704744529
Fundamentals of Deep Learning - Buduma,Nithin Buduma,3,49.65,46-60,Male,UK,Researcher,148.95,26.436200937273103,79.30860281181931,69.64139718818068,46.75488230156474
Deep Learning with PyTorch - Stevens,Seth Weidman,16,56.29,36-45,Female,Germany,Engineer,900.64,24.722668709788763,395.5626993566202,505.0773006433798,56.07982108760212
Fundamentals of Deep Learning - Buduma,Aurelien Geron,7,55.58,26-35,Male,USA,Engineer,389.06,27.084123821601192,189.58886675120834,199.47113324879166,51.270018313060106
Deep Learning - Goodfellow,Aurelien Geron,14,38.28,26-35,Other,Netherlands,Professional,535.9200000000001,25.29112636205997,354.0757690688396,181.8442309311605,33.93122684937313
Deep Learning - Goodfellow,Andrew Trask,9,62.29,18-25,Male,Canada,Professional,560.61,41.81750968966832,376.3575872070149,184.25241279298513,32.866415653125195
Deep Learning with PyTorch - Stevens,Francois Chollet,15,32.24,18-25,Other,UK,Student,483.6,12.90323183535978,193.5484775303967,290.05152246960336,59.97756874888407
Deep Learning with PyTorch - Stevens,Francois Chollet,21,68.1,36-45,Other,UK,Engineer,1430.1,39.378206477886366,826.9423360356137,603.1576639643862,42.17590825567347
Grokking Deep Learning - Trask,Ian Goodfellow,35,77.33,36-45,Male,Canada,Student,2706.5499999999997,47.619054828773606,1666.6669190070763,1039.8830809929234,38.42098172924659
Deep Learning with PyTorch - Stevens,Seth Weidman,2,46.99,60+,Other,Australia,Engineer,93.98,27.518476211704876,55.03695242340975,38.94304757659025,41.43759052627182
Hands-On Machine Learning - Geron,Andrew Trask,27,55.86,18-25,Male,Australia,Student,1508.22,23.71278949963036,640.2453164900197,867.9746835099803,57.54960705400938
Fundamentals of Deep Learning - Buduma,Aston Zhang,2,48.95,60+,Male,Germany,Professional,97.9,22.777290138861883,45.554580277723765,52.34541972227624,53.468253036032934
Neural Networks and Deep Learning - Nielsen,Francois Chollet,35,30.34,46-60,Other,India,Researcher,1061.9,14.414597113705375,504.51089897968814,557.389101020312,52.48979197855842
Generative Deep Learning - Foster,Aurelien Geron,18,49.29,60+,Other,Australia,Professional,887.22,32.01471212310836,576.2648182159505,310.9551817840495,35.04826106084731
Deep Learning with PyTorch - Stevens,Nithin Buduma,14,69.59,26-35,Female,Germany,Student,974.26,37.50621463182134,525.0870048454988,449.1729951545012,46.104016910732376
Deep Learning from Scratch - Weidman,Nithin Buduma,20,59.8,60+,Other,Australia,Student,1196.0,32.653698122225784,653.0739624445157,542.9260375554843,45.3951536417629
Deep Learning - Goodfellow,Andrew Trask,18,35.06,36-45,Female,USA,Researcher,631.08,23.85720506366032,429.4296911458858,201.65030885411426,31.953208603364747
Hands-On Machine Learning - Geron,Seth Weidman,10,72.36,46-60,Other,France,Engineer,723.6,42.77386047525816,427.73860475258164,295.8613952474184,40.88742333435854
Dive into Deep Learning - Zhang,Seth Weidman,25,56.55,26-35,Male,India,Student,1413.75,37.86589755684094,946.6474389210235,467.10256107897646,33.039968953420086
Generative Deep Learning - Foster,Michael Nielsen,2,72.09,60+,Other,Germany,Student,144.18,38.70891701447133,77.41783402894266,66.76216597105734,46.30473433975402
Neural Networks and Deep Learning - Nielsen,Eli Stevens,25,59.01,46-60,Male,France,Student,1475.25,26.249470084549362,656.236752113734,819.013247886266,55.51691224445118
Generative Deep Learning - Foster,Francois Chollet,33,57.98,46-60,Male,France,Researcher,1913.34,39.36729972332464,1299.120890869713,614.2191091302868,32.101932177777435
Deep Learning with PyTorch - Stevens,Seth Weidman,36,35.26,26-35,Male,Netherlands,Professional,1269.36,18.956182713531216,682.4225776871237,586.9374223128762,46.23884652997386
Grokking Deep Learning - Trask,Aurelien Geron,31,38.37,60+,Female,Australia,Student,1189.47,17.438759297247117,540.6015382146606,648.8684617853394,54.55105734363534
Deep Learning - Goodfellow,Andrew Trask,14,78.6,46-60,Other,Netherlands,Researcher,1100.3999999999999,38.570491556366484,539.9868817891307,560.4131182108691,50.928127790882336
Deep Learning - Goodfellow,Aston Zhang,1,41.42,46-60,Male,Canada,Student,41.42,17.1992729794748,17.1992729794748,24.220727020525203,58.47592230933173
Dive into Deep Learning - Zhang,Michael Nielsen,46,78.87,18-25,Male,USA,Engineer,3628.0200000000004,42.62846029444953,1960.9091735446784,1667.110826455322,45.95098225630845
