Book_ID,Book_Title,Category,Publication_Year,Age_Group,Gender,Income_Level,Region,Marketing_Channel,Ad_Spend,Units_Sold,Price,Cost,Revenue,Total_Cost,Profit,Profit_Margin (%)
40,Marketing Analytics,SEO,2025,26-35,Female,High,London,Organic,29.36,84,13.08,8.92,1098.72,749.28,349.44000000000005,31.804281345565755
41,Consumer Psychology,Social Media,2020,26-35,Female,High,Manchester,Facebook,7.38,137,18.12,11.52,2482.44,1578.24,904.2,36.42384105960265
42,SEO Mastery,SEO,2023,26-35,Female,Low,London,Organic,36.55,208,54.75,31.75,11388.0,6604.0,4784.0,42.00913242009132
43,Marketing Research,SEO,2021,46-55,Male,Medium,Glasgow,Google Ads,7.51,163,44.3,32.93,7220.9,5367.59,1853.3099999999995,25.665914221218955
44,Consumer Psychology,Social Media,2018,18-25,Female,Medium,Birmingham,Google Ads,46.03,65,22.5,17.61,1462.5,1144.6499999999999,317.85000000000014,21.733333333333345
45,Marketing Research,SEO,2015,46-55,Female,Medium,Glasgow,Facebook,36.59,287,13.28,7.96,3811.3599999999997,2284.52,1526.8399999999997,40.060240963855414
46,Brand Management,Social Media,2016,26-35,Male,Low,Birmingham,Organic,27.83,354,44.53,34.4,15763.62,12177.6,3586.0200000000004,22.74870873568381
47,SEO Mastery,Digital,2019,56+,Female,Medium,Leeds,Google Ads,24.87,28,38.62,24.46,1081.36,684.88,396.4799999999999,36.66494044536509
48,Marketing Analytics,Social Media,2025,36-45,Female,High,Manchester,Instagram,10.88,168,30.23,18.6,5078.64,3124.8,1953.8400000000001,38.47171683757856
49,Content Marketing,Social Media,2019,46-55,Male,Medium,Leeds,Email,18.09,35,28.18,16.39,986.3,573.65,412.65,41.83818310858765
50,Advertising Strategy,Analytics,2022,46-55,Female,Low,Birmingham,Email,44.1,435,20.84,10.08,9065.4,4384.8,4680.599999999999,51.631477927063344
51,Social Media Strategy,Social Media,2020,18-25,Male,Medium,Birmingham,Google Ads,45.7,178,43.48,17.46,7739.44,3107.88,4631.5599999999995,59.84360625574977
52,Digital Marketing 101,Social Media,2022,18-25,Male,Medium,Birmingham,Organic,5.03,493,58.53,29.07,28855.29,14331.51,14523.78,50.333162480779094
53,Marketing Analytics,Digital,2016,46-55,Male,High,London,Google Ads,31.74,32,18.79,11.35,601.28,363.2,238.07999999999998,39.59552953698776
54,SEO Mastery,Analytics,2017,26-35,Male,Medium,Manchester,Organic,37.37,56,39.86,22.0,2232.16,1232.0,1000.1599999999999,44.80682388359257
55,Advertising Strategy,Branding,2020,36-45,Female,High,Leeds,Instagram,32.84,22,31.21,18.08,686.62,397.76,288.86,42.06984940724127
56,Marketing Analytics,Digital,2024,18-25,Male,High,Leeds,Organic,8.68,226,32.33,25.61,7306.58,5787.86,1518.7200000000003,20.785648004948968
57,SEO Mastery,Digital,2017,26-35,Male,Low,Glasgow,Google Ads,14.8,331,22.71,12.27,7517.01,4061.37,3455.6400000000003,45.97093791281374
58,Email Marketing Guide,Branding,2020,56+,Female,High,Birmingham,Instagram,16.27,203,51.26,29.78,10405.779999999999,6045.34,4360.439999999999,41.90401872805305
59,Email Marketing Guide,Social Media,2020,18-25,Male,High,Birmingham,Facebook,42.43,153,34.26,15.53,5241.78,2376.0899999999997,2865.69,54.670169293636896
60,Marketing Research,SEO,2016,26-35,Male,Low,Birmingham,Email,25.84,82,37.17,15.58,3047.94,1277.56,1770.38,58.08447672854453
61,Marketing Analytics,Analytics,2021,26-35,Male,High,Leeds,Google Ads,26.91,165,25.24,17.92,4164.599999999999,2956.8,1207.7999999999993,29.00158478605387
62,Email Marketing Guide,SEO,2016,36-45,Male,Low,Glasgow,Google Ads,47.07,86,19.09,11.99,1641.74,1031.14,610.5999999999999,37.192247249869034
63,SEO Mastery,Branding,2020,36-45,Female,Medium,London,Google Ads,33.67,428,14.3,10.07,6120.400000000001,4309.96,1810.4400000000005,29.580419580419587
64,Marketing Research,Digital,2015,56+,Male,Low,Manchester,Instagram,45.44,178,45.71,21.02,8136.38,3741.56,4394.82,54.014438853642524
65,SEO Mastery,Digital,2017,26-35,Female,High,London,Facebook,25.54,470,19.81,12.46,9310.699999999999,5856.200000000001,3454.499999999998,37.1024734982332
66,Marketing Research,Analytics,2016,26-35,Female,Low,Leeds,Organic,11.72,296,44.5,22.31,13172.0,6603.759999999999,6568.240000000001,49.86516853932585
67,Marketing Analytics,Digital,2021,36-45,Male,High,Birmingham,Facebook,46.85,94,29.52,14.5,2774.88,1363.0,1411.88,50.88075880758808
68,Advertising Strategy,Digital,2018,18-25,Male,Medium,Manchester,Instagram,25.64,425,30.79,12.46,13085.75,5295.5,7790.25,59.53231568691133
69,Content Marketing,Analytics,2022,18-25,Male,Low,Leeds,Google Ads,13.17,191,33.46,15.13,6390.860000000001,2889.83,3501.0300000000007,54.78182904961149
70,Consumer Psychology,Analytics,2020,46-55,Male,Medium,Leeds,Email,18.61,491,28.39,14.87,13939.49,7301.169999999999,6638.320000000001,47.622402254314906
71,Advertising Strategy,Branding,2024,36-45,Female,High,Leeds,Google Ads,7.29,465,15.03,6.71,6988.95,3120.15,3868.7999999999997,55.35595475715236
72,Brand Management,Digital,2018,46-55,Female,High,Manchester,Organic,26.07,324,25.48,20.24,8255.52,6557.759999999999,1697.7600000000011,20.56514913657772
73,SEO Mastery,Digital,2019,36-45,Female,Medium,Manchester,Email,43.39,306,43.19,22.61,13216.14,6918.66,6297.48,47.64991896272285
74,Brand Management,Branding,2023,56+,Male,Low,Glasgow,Google Ads,47.01,121,43.29,19.57,5238.09,2367.9700000000003,2870.12,54.79325479325479
75,Advertising Strategy,Social Media,2021,26-35,Female,Low,Glasgow,Email,46.97,459,24.31,11.66,11158.289999999999,5351.9400000000005,5806.3499999999985,52.03619909502262
76,Marketing Research,Social Media,2024,56+,Male,High,London,Facebook,10.64,239,33.01,20.96,7889.389999999999,5009.4400000000005,2879.949999999999,36.50408966979702
77,Consumer Psychology,Social Media,2023,36-45,Male,Medium,Manchester,Instagram,22.19,105,19.67,8.37,2065.3500000000004,878.8499999999999,1186.5000000000005,57.44789018810372
78,Consumer Psychology,Branding,2021,26-35,Male,Medium,Manchester,Google Ads,6.27,447,20.52,15.29,9172.44,6834.629999999999,2337.8100000000013,25.48732943469787
79,Digital Marketing 101,Digital,2015,18-25,Male,Low,Manchester,Organic,43.48,177,11.15,8.75,1973.55,1548.75,424.79999999999995,21.524663677130043
80,Consumer Psychology,Branding,2022,18-25,Male,Low,Glasgow,Facebook,21.14,387,54.84,27.35,21223.08,10584.45,10638.630000000001,50.127644055434
81,Content Marketing,Branding,2018,46-55,Female,Low,Leeds,Google Ads,33.4,165,20.54,11.91,3389.1,1965.15,1423.9499999999998,42.015579357351506
82,Consumer Psychology,Social Media,2017,36-45,Female,Medium,Birmingham,Facebook,37.17,430,21.38,8.74,9193.4,3758.2000000000003,5435.199999999999,59.12067352666042
83,Advertising Strategy,SEO,2021,36-45,Male,Low,Glasgow,Organic,24.34,114,23.98,15.74,2733.7200000000003,1794.3600000000001,939.3600000000001,34.361968306922435
84,Digital Marketing 101,Digital,2017,18-25,Female,Low,Manchester,Google Ads,18.79,202,16.37,9.26,3306.7400000000002,1870.52,1436.2200000000003,43.433109346365306
85,Advertising Strategy,Social Media,2022,56+,Male,High,Glasgow,Organic,48.3,498,41.96,21.32,20896.08,10617.36,10278.720000000001,49.18970448045758
86,Advertising Strategy,SEO,2020,26-35,Male,Low,London,Email,48.4,339,13.76,6.64,4664.64,2250.96,2413.6800000000003,51.74418604651163
87,Social Media Strategy,SEO,2019,56+,Male,Low,Manchester,Organic,18.02,448,16.71,11.06,7486.08,4954.88,2531.2,33.81208856971873
88,Digital Marketing 101,Analytics,2018,56+,Female,Medium,London,Email,26.58,141,42.24,23.93,5955.84,3374.13,2581.71,43.347537878787875
89,Advertising Strategy,Digital,2022,18-25,Male,Medium,Manchester,Google Ads,48.78,364,26.98,12.73,9820.72,4633.72,5186.999999999999,52.816901408450704
90,Social Media Strategy,SEO,2022,18-25,Male,High,Glasgow,Email,5.22,391,45.4,30.67,17751.399999999998,11991.970000000001,5759.429999999997,32.444933920704834
91,Social Media Strategy,Social Media,2015,18-25,Female,Low,Leeds,Google Ads,23.57,147,37.87,23.71,5566.889999999999,3485.3700000000003,2081.519999999999,37.39107472933719
92,Digital Marketing 101,Analytics,2023,46-55,Female,High,Birmingham,Google Ads,9.52,440,22.8,16.95,10032.0,7458.0,2574.0,25.657894736842106
93,Brand Management,Digital,2019,56+,Female,Medium,London,Instagram,27.91,340,42.54,19.01,14463.6,6463.400000000001,8000.2,55.31264692054537
94,Marketing Research,Branding,2018,36-45,Male,High,Glasgow,Google Ads,6.11,279,15.81,11.29,4410.99,3149.91,1261.08,28.589500316255535
95,Content Marketing,Social Media,2020,26-35,Male,Medium,Leeds,Email,23.31,47,36.82,24.65,1730.54,1158.55,571.99,33.05268875611081
96,Marketing Research,SEO,2020,46-55,Female,High,Glasgow,Instagram,14.93,405,31.86,14.21,12903.3,5755.05,7148.249999999999,55.39861895794099
97,Consumer Psychology,SEO,2016,36-45,Male,High,London,Instagram,29.0,54,23.39,15.86,1263.06,856.4399999999999,406.62,32.19324497648568
98,Content Marketing,Social Media,2022,56+,Female,Low,Birmingham,Google Ads,49.82,410,40.2,23.18,16482.0,9503.8,6978.200000000001,42.33830845771145
99,Consumer Psychology,SEO,2021,18-25,Female,High,Glasgow,Organic,41.02,473,53.57,41.68,25338.61,19714.64,5623.970000000001,22.195258540227744
100,Advertising Strategy,Analytics,2015,56+,Male,Low,Manchester,Organic,43.05,172,59.95,27.38,10311.4,4709.36,5602.04,54.32860717264387
101,SEO Mastery,Digital,2019,26-35,Male,Low,Leeds,Instagram,33.59,459,40.39,26.54,18539.010000000002,12181.859999999999,6357.150000000003,34.29066600643725
102,Digital Marketing 101,Analytics,2020,46-55,Female,Low,Glasgow,Google Ads,6.87,340,30.24,16.72,10281.6,5684.799999999999,4596.800000000001,44.70899470899472
103,Content Marketing,SEO,2018,46-55,Female,Low,Leeds,Organic,14.31,262,21.26,16.64,5570.120000000001,4359.68,1210.4400000000005,21.73095014111007
104,Content Marketing,Branding,2016,26-35,Female,High,Manchester,Google Ads,46.63,178,22.85,12.16,4067.3,2164.48,1902.8200000000002,46.78336980306346
105,Advertising Strategy,Digital,2018,36-45,Female,Medium,Birmingham,Google Ads,21.48,460,33.97,26.66,15626.199999999999,12263.6,3362.5999999999985,21.518987341772146
106,Brand Management,Digital,2015,36-45,Male,Medium,Birmingham,Instagram,9.66,294,28.36,21.57,8337.84,6341.58,1996.2600000000002,23.94217207334274
107,Social Media Strategy,Social Media,2021,46-55,Female,Medium,Manchester,Instagram,36.61,283,55.69,28.3,15760.269999999999,8008.900000000001,7751.369999999998,49.18297719518764
108,Advertising Strategy,Social Media,2016,46-55,Female,High,Leeds,Facebook,18.48,29,28.41,20.5,823.89,594.5,229.39,27.842309046110525
109,Email Marketing Guide,Branding,2016,18-25,Female,Low,Glasgow,Organic,17.1,248,28.67,22.89,7110.160000000001,5676.72,1433.4400000000005,20.16044645971399
110,Social Media Strategy,Digital,2023,36-45,Male,Medium,Manchester,Organic,49.91,279,29.18,14.62,8141.22,4078.9799999999996,4062.2400000000007,49.89718985606581
111,Digital Marketing 101,Branding,2019,26-35,Male,High,London,Organic,43.62,427,51.83,29.79,22131.41,12720.33,9411.08,42.523634960447616
112,Social Media Strategy,Social Media,2016,36-45,Female,Low,Leeds,Email,23.36,442,42.54,25.87,18802.68,11434.54,7368.139999999999,39.18664786083686
113,Brand Management,Social Media,2025,18-25,Male,Medium,Birmingham,Google Ads,49.11,319,40.71,21.09,12986.49,6727.71,6258.78,48.19454679439941
114,Social Media Strategy,Digital,2023,46-55,Male,Low,Manchester,Instagram,34.26,40,26.71,10.85,1068.4,434.0,634.4000000000001,59.37850992137776
115,Digital Marketing 101,Analytics,2023,46-55,Male,Medium,Birmingham,Organic,38.39,323,50.9,24.84,16440.7,8023.32,8417.380000000001,51.19842829076621
116,Brand Management,SEO,2015,18-25,Female,Medium,Leeds,Facebook,6.42,113,11.92,6.11,1346.96,690.4300000000001,656.53,48.741610738255034
117,Marketing Research,Social Media,2025,26-35,Female,Medium,Birmingham,Organic,10.47,179,53.54,30.92,9583.66,5534.68,4048.9799999999996,42.248785954426594
118,Content Marketing,Social Media,2017,46-55,Male,Low,Manchester,Google Ads,33.49,195,35.64,16.7,6949.8,3256.5,3693.3,53.142536475869804
119,Content Marketing,Analytics,2018,56+,Female,High,Leeds,Google Ads,45.46,137,29.91,22.41,4097.67,3070.17,1027.5,25.075225677031092
120,Consumer Psychology,Analytics,2021,46-55,Female,Low,London,Instagram,33.07,219,34.86,23.77,7634.34,5205.63,2428.71,31.812966150315546
121,Marketing Research,Branding,2024,56+,Male,Medium,Manchester,Email,11.03,423,43.37,18.83,18345.51,7965.089999999999,10380.419999999998,56.582891399584966
122,Marketing Research,Branding,2018,18-25,Male,Low,Glasgow,Instagram,10.21,290,10.64,7.02,3085.6000000000004,2035.8,1049.8000000000004,34.022556390977456
123,Social Media Strategy,SEO,2016,18-25,Female,High,Manchester,Organic,42.99,456,53.58,35.44,24432.48,16160.64,8271.84,33.855916386711456
124,Content Marketing,SEO,2021,46-55,Male,Low,Leeds,Facebook,11.27,262,32.34,25.31,8473.080000000002,6631.219999999999,1841.8600000000024,21.737786023500334
125,Digital Marketing 101,Digital,2020,36-45,Female,High,Manchester,Instagram,28.41,28,27.15,10.89,760.1999999999999,304.92,455.2799999999999,59.889502762430936
126,Marketing Analytics,Branding,2017,56+,Female,High,London,Email,6.67,209,16.91,8.44,3534.19,1763.9599999999998,1770.2300000000002,50.088704908338265
127,Marketing Analytics,Social Media,2020,26-35,Male,Low,London,Instagram,8.63,229,31.97,24.65,7321.13,5644.849999999999,1676.2800000000007,22.896465436346585
128,Brand Management,Branding,2025,46-55,Female,Medium,Glasgow,Google Ads,35.26,145,34.82,26.91,5048.9,3901.95,1146.9499999999998,22.716829408385983
129,Content Marketing,Social Media,2020,26-35,Female,High,Birmingham,Organic,36.01,232,30.18,20.77,7001.76,4818.64,2183.12,31.179589131875414
130,Content Marketing,Analytics,2019,46-55,Male,Low,Leeds,Organic,20.37,12,43.93,31.03,527.16,372.36,154.79999999999995,29.364898702481213
131,Marketing Analytics,Branding,2018,36-45,Male,High,Leeds,Organic,14.7,460,31.04,13.55,14278.4,6233.0,8045.4,56.34664948453608
132,Content Marketing,Analytics,2024,36-45,Male,Medium,Birmingham,Organic,41.62,245,58.07,35.16,14227.15,8614.199999999999,5612.950000000001,39.45238505252283
133,Social Media Strategy,SEO,2015,36-45,Female,Low,London,Organic,14.77,351,39.96,19.69,14025.960000000001,6911.1900000000005,7114.77,50.725725725725724
134,Email Marketing Guide,SEO,2024,36-45,Male,Low,London,Organic,29.39,474,50.37,23.8,23875.379999999997,11281.2,12594.179999999997,52.74965257097478
135,SEO Mastery,Digital,2020,18-25,Male,Low,Manchester,Facebook,48.57,237,15.47,11.2,3666.3900000000003,2654.3999999999996,1011.9900000000007,27.60180995475115
136,Marketing Research,Branding,2016,18-25,Male,Medium,Glasgow,Email,11.65,410,29.86,13.56,12242.6,5559.6,6683.0,54.58807769591426
137,Consumer Psychology,Analytics,2017,56+,Male,High,Glasgow,Organic,47.34,151,26.84,15.77,4052.84,2381.27,1671.5700000000002,41.24441132637855
138,Brand Management,Social Media,2022,26-35,Female,Low,Glasgow,Email,13.23,18,38.47,29.83,692.46,536.9399999999999,155.5200000000001,22.45905900701847
139,Email Marketing Guide,SEO,2024,46-55,Female,High,Manchester,Organic,30.53,199,53.06,25.17,10558.94,5008.83,5550.110000000001,52.56313607237091
140,Marketing Analytics,SEO,2020,46-55,Male,High,Glasgow,Instagram,21.97,359,13.92,11.01,4997.28,3952.59,1044.6899999999996,20.905172413793096
141,Marketing Research,Social Media,2017,18-25,Female,Medium,Birmingham,Organic,48.42,414,13.63,10.87,5642.820000000001,4500.179999999999,1142.6400000000012,20.249449743213518
142,Content Marketing,Analytics,2021,46-55,Male,Low,Manchester,Google Ads,17.31,469,52.52,32.68,24631.88,15326.92,9304.960000000001,37.77608530083778
143,Consumer Psychology,Analytics,2018,18-25,Male,High,Birmingham,Facebook,22.98,174,20.64,9.66,3591.36,1680.84,1910.5200000000002,53.197674418604656
144,Content Marketing,Branding,2023,56+,Female,Low,Manchester,Instagram,49.23,489,43.44,22.87,21242.16,11183.43,10058.73,47.35267034990792
145,Digital Marketing 101,Branding,2019,26-35,Female,Low,Glasgow,Instagram,29.14,148,37.14,21.16,5496.72,3131.68,2365.0400000000004,43.02638664512655
146,Digital Marketing 101,Digital,2017,56+,Male,Medium,Birmingham,Google Ads,27.62,285,51.64,27.05,14717.4,7709.25,7008.15,47.61812548412084
147,Consumer Psychology,SEO,2016,36-45,Male,Low,Birmingham,Organic,16.6,300,16.25,8.32,4875.0,2496.0,2379.0,48.8
148,Consumer Psychology,Branding,2025,36-45,Female,Low,Birmingham,Facebook,36.56,62,16.49,13.01,1022.3799999999999,806.62,215.75999999999988,21.103699211643413
149,Marketing Analytics,Analytics,2016,36-45,Male,High,Manchester,Instagram,5.65,184,37.84,17.46,6962.56,3212.6400000000003,3749.92,53.8583509513742
150,Consumer Psychology,Social Media,2017,56+,Female,Medium,Leeds,Facebook,7.23,119,57.32,39.74,6821.08,4729.06,2092.0199999999995,30.66992323796231
151,Social Media Strategy,Analytics,2016,46-55,Male,Low,Glasgow,Instagram,31.97,212,30.75,12.31,6519.0,2609.7200000000003,3909.2799999999997,59.96747967479674
152,Content Marketing,SEO,2018,26-35,Male,High,Birmingham,Organic,20.38,445,26.35,16.82,11725.75,7484.900000000001,4240.849999999999,36.166982922201136
153,Email Marketing Guide,Analytics,2016,36-45,Female,Medium,Leeds,Instagram,47.9,145,40.33,30.91,5847.849999999999,4481.95,1365.8999999999996,23.35730225638482
154,Advertising Strategy,Digital,2024,36-45,Female,Medium,Glasgow,Instagram,45.64,13,56.52,29.12,734.76,378.56,356.2,48.47841472045293
155,Consumer Psychology,SEO,2023,36-45,Female,High,Glasgow,Email,37.12,164,51.85,24.59,8503.4,4032.7599999999998,4470.639999999999,52.57473481195757
156,Brand Management,Social Media,2016,26-35,Female,High,Birmingham,Organic,41.82,181,59.77,39.49,10818.37,7147.6900000000005,3670.6800000000003,33.93006525012548
157,Digital Marketing 101,Digital,2023,36-45,Female,High,Birmingham,Google Ads,35.03,433,11.13,7.62,4819.29,3299.46,1519.83,31.536388140161726
158,Social Media Strategy,SEO,2020,26-35,Female,High,Manchester,Google Ads,10.65,367,15.64,10.56,5739.88,3875.52,1864.3600000000001,32.48081841432226
159,Marketing Research,Social Media,2015,36-45,Female,High,Leeds,Organic,39.45,56,40.47,21.36,2266.3199999999997,1196.1599999999999,1070.1599999999999,47.220163083765755
160,Advertising Strategy,Digital,2018,56+,Male,Low,Leeds,Google Ads,14.46,103,51.03,25.56,5256.09,2632.68,2623.4100000000003,49.91181657848325
161,Email Marketing Guide,Digital,2015,56+,Male,Low,Birmingham,Organic,19.55,437,24.26,18.98,10601.62,8294.26,2307.3600000000006,21.764220939818635
162,Advertising Strategy,SEO,2020,26-35,Male,Medium,Glasgow,Google Ads,41.87,57,21.96,16.89,1251.72,962.73,288.99,23.08743169398907
163,Consumer Psychology,Branding,2018,56+,Female,Low,Birmingham,Email,29.14,249,49.35,28.77,12288.15,7163.73,5124.42,41.702127659574465
164,Marketing Analytics,Digital,2017,26-35,Female,Low,Glasgow,Google Ads,43.7,356,12.82,9.47,4563.92,3371.32,1192.6,26.13104524180967
165,Digital Marketing 101,Digital,2017,56+,Female,Low,Glasgow,Instagram,14.59,222,28.47,16.54,6320.34,3671.8799999999997,2648.4600000000005,41.903758342114514
166,Digital Marketing 101,Social Media,2023,56+,Male,High,Birmingham,Organic,32.35,445,35.29,20.11,15704.05,8948.949999999999,6755.1,43.01501841881553
167,Marketing Research,Analytics,2020,26-35,Female,Medium,London,Facebook,8.77,349,38.02,17.59,13268.980000000001,6138.91,7130.0700000000015,53.73487638085219
168,Marketing Analytics,SEO,2023,46-55,Female,Medium,Leeds,Facebook,33.94,333,46.43,26.49,15461.19,8821.17,6640.02,42.94637088089598
169,Content Marketing,SEO,2019,56+,Male,Medium,Glasgow,Organic,39.31,148,27.74,17.06,4105.5199999999995,2524.8799999999997,1580.6399999999999,38.500360490266765
170,SEO Mastery,Branding,2016,36-45,Female,Medium,Glasgow,Email,31.32,214,40.63,16.62,8694.82,3556.6800000000003,5138.139999999999,59.09426532119123
171,Social Media Strategy,Branding,2022,46-55,Male,Low,London,Google Ads,16.98,390,39.27,22.68,15315.300000000001,8845.2,6470.1,42.24598930481283
172,Digital Marketing 101,SEO,2019,26-35,Male,Low,Manchester,Email,6.41,82,37.38,26.63,3065.1600000000003,2183.66,881.5000000000005,28.758694489031576
173,Brand Management,Branding,2016,46-55,Female,High,London,Facebook,10.38,13,42.02,28.24,546.26,367.12,179.14,32.793907663017606
174,Digital Marketing 101,Social Media,2018,18-25,Female,Medium,London,Organic,33.0,85,22.97,15.02,1952.4499999999998,1276.7,675.7499999999998,34.6103613408794
175,Advertising Strategy,SEO,2023,18-25,Female,Low,Glasgow,Organic,47.05,338,14.23,10.87,4809.74,3674.06,1135.6799999999998,23.612087139845393
176,Digital Marketing 101,Branding,2018,56+,Male,Low,Leeds,Email,14.29,86,15.96,6.5,1372.5600000000002,559.0,813.5600000000002,59.27318295739349
