Customer_ID,Age,Gender,Country,Income,Book_Name,Author,Units_Sold,Price_per_Unit,Cost_per_Unit,Revenue,Total_Cost,Profit,Profit_Margin (%)
86,41,Female,USA,81627,Algorithms Unlocked,Steven Skiena,19,52.79,30.19,1003.01,573.61,429.4,42.81
87,43,Male,Canada,53848,Advanced Algorithms,Chris Albon,19,93.71,44.18,1780.49,839.42,941.07,52.85
88,42,Male,India,57804,The Algorithm Design Manual,Robert Sedgewick,6,23.67,15.11,142.02,90.66,51.36,36.16
89,62,Male,UK,35379,Algorithms Illuminated,Thomas H. Cormen,13,67.48,36.84,877.24,478.92,398.32,45.41
90,58,Female,India,79664,Advanced Algorithms,Thomas H. Cormen,11,53.63,26.83,589.93,295.13,294.8,49.97
91,46,Female,USA,47766,Algorithms Illuminated,Narasimha Karumanchi,13,112.05,48.41,1456.65,629.33,827.32,56.8
92,32,Male,Australia,88099,Advanced Algorithms,Steven Halim,13,21.2,10.0,275.6,130.0,145.6,52.83
93,62,Male,USA,56060,Data Structures and Algorithms Made Easy,Steven Skiena,15,75.28,51.55,1129.2,773.25,355.95,31.52
94,18,Male,Australia,114733,Advanced Algorithms,Narasimha Karumanchi,13,94.07,46.24,1222.91,601.12,621.79,50.85
95,42,Female,Australia,89122,Algorithms in Python,Steven Skiena,11,68.5,30.87,753.5,339.57,413.93,54.93
96,24,Female,Canada,36087,Advanced Algorithms,Thomas H. Cormen,19,28.54,15.36,542.26,291.84,250.42,46.18
97,26,Female,India,68868,Introduction to Algorithms,Magnus Lie Hetland,8,117.25,57.7,938.0,461.6,476.4,50.79
98,41,Female,UK,43225,Introduction to Algorithms,Chris Albon,8,71.8,29.48,574.4,235.84,338.56,58.94
99,18,Male,UK,115286,Competitive Programming Algorithms,Aditya Bhargava,10,81.42,40.46,814.2,404.6,409.6,50.31
100,61,Male,Germany,26643,Algorithms in Python,Robert Sedgewick,16,43.66,24.59,698.56,393.44,305.12,43.68
101,25,Male,Australia,113059,Algorithms in Python,Narasimha Karumanchi,19,68.35,38.65,1298.65,734.35,564.3,43.45
102,41,Male,UK,56727,The Algorithm Design Manual,Chris Albon,11,62.91,31.89,692.01,350.79,341.22,49.31
103,28,Female,Canada,31005,Algorithms in Python,Robert Sedgewick,13,27.49,14.68,357.37,190.84,166.53,46.6
104,34,Female,Australia,85697,The Algorithm Design Manual,Magnus Lie Hetland,9,30.62,21.12,275.58,190.08,85.5,31.03
105,25,Male,Canada,36029,Competitive Programming Algorithms,Aditya Bhargava,19,103.75,53.24,1971.25,1011.56,959.69,48.68
106,52,Male,UK,34226,Competitive Programming Algorithms,Robert Sedgewick,16,43.98,21.0,703.68,336.0,367.68,52.25
107,52,Female,UK,83646,Data Structures and Algorithms Made Easy,Robert Sedgewick,7,39.5,18.69,276.5,130.83,145.67,52.68
108,50,Male,Germany,80603,Introduction to Algorithms,Narasimha Karumanchi,19,70.49,37.88,1339.31,719.72,619.59,46.26
109,22,Female,UK,48731,Advanced Algorithms,Tim Roughgarden,12,96.87,60.82,1162.44,729.84,432.6,37.21
110,59,Male,Australia,88926,Advanced Algorithms,Aditya Bhargava,15,26.19,12.09,392.85,181.35,211.5,53.84
111,56,Male,Australia,25997,Machine Learning Algorithms Explained,Chris Albon,14,77.68,47.6,1087.52,666.4,421.12,38.72
112,58,Male,Australia,75506,Machine Learning Algorithms Explained,Magnus Lie Hetland,11,31.92,12.97,351.12,142.67,208.45,59.37
113,45,Male,Germany,98229,Grokking Algorithms,Aditya Bhargava,10,23.65,12.43,236.5,124.3,112.2,47.44
114,24,Male,Germany,69815,Algorithms Illuminated,Thomas H. Cormen,11,25.27,15.99,277.97,175.89,102.08,36.72
115,26,Male,UK,62092,Data Structures and Algorithms Made Easy,Tim Roughgarden,6,103.42,51.88,620.52,311.28,309.24,49.84
116,25,Male,USA,82539,Grokking Algorithms,Thomas H. Cormen,2,31.8,18.1,63.6,36.2,27.4,43.08
117,29,Female,USA,86077,Grokking Algorithms,Magnus Lie Hetland,11,24.52,11.32,269.72,124.52,145.2,53.83
118,51,Female,Germany,41817,Algorithms Unlocked,Narasimha Karumanchi,19,63.79,39.72,1212.01,754.68,457.33,37.73
119,50,Female,UK,57861,Algorithms Unlocked,Narasimha Karumanchi,6,104.4,43.4,626.4,260.4,366.0,58.43
120,40,Female,USA,33428,Grokking Algorithms,Magnus Lie Hetland,14,46.24,30.32,647.36,424.48,222.88,34.43
121,41,Female,UK,63934,Algorithms in Python,Steven Skiena,6,62.17,28.56,373.02,171.36,201.66,54.06
122,54,Male,UK,30258,Algorithms Illuminated,Magnus Lie Hetland,17,23.99,15.89,407.83,270.13,137.7,33.76
123,52,Male,UK,77775,Data Structures and Algorithms Made Easy,Tim Roughgarden,10,64.91,32.83,649.1,328.3,320.8,49.42
124,61,Female,India,101580,Grokking Algorithms,Thomas H. Cormen,1,77.76,47.96,77.76,47.96,29.8,38.32
125,57,Male,Australia,114947,Advanced Algorithms,Narasimha Karumanchi,3,77.09,38.22,231.27,114.66,116.61,50.42
126,39,Female,UK,25469,Algorithms Illuminated,Steven Halim,8,53.24,35.77,425.92,286.16,139.76,32.81
127,44,Female,India,48854,Algorithms Unlocked,Tim Roughgarden,8,51.55,22.58,412.4,180.64,231.76,56.2
128,52,Male,Germany,26256,Advanced Algorithms,Tim Roughgarden,15,30.66,13.91,459.9,208.65,251.25,54.63
129,18,Male,USA,96256,Algorithms Unlocked,Tim Roughgarden,7,56.68,31.06,396.76,217.42,179.34,45.2
130,52,Male,Australia,53937,Algorithms Unlocked,Robert Sedgewick,11,29.95,12.72,329.45,139.92,189.53,57.53
131,54,Female,USA,119134,Algorithms Illuminated,Tim Roughgarden,7,96.66,44.35,676.62,310.45,366.17,54.12
132,64,Male,Australia,21651,Algorithms Unlocked,Narasimha Karumanchi,4,116.63,79.67,466.52,318.68,147.84,31.69
133,31,Female,USA,70288,Competitive Programming Algorithms,Thomas H. Cormen,12,117.01,81.08,1404.12,972.96,431.16,30.71
134,20,Female,Australia,104730,Introduction to Algorithms,Thomas H. Cormen,6,106.51,54.63,639.06,327.78,311.28,48.71
135,18,Female,USA,45051,Competitive Programming Algorithms,Tim Roughgarden,14,80.08,54.21,1121.12,758.94,362.18,32.31
136,22,Male,USA,47386,Introduction to Algorithms,Thomas H. Cormen,12,90.09,50.76,1081.08,609.12,471.96,43.66
137,43,Male,USA,95054,Machine Learning Algorithms Explained,Narasimha Karumanchi,11,48.52,23.33,533.72,256.63,277.09,51.92
138,31,Female,USA,36184,Machine Learning Algorithms Explained,Narasimha Karumanchi,19,83.08,50.74,1578.52,964.06,614.46,38.93
139,56,Male,Germany,53787,Algorithms Unlocked,Aditya Bhargava,5,65.56,39.18,327.8,195.9,131.9,40.24
140,44,Male,UK,41621,Data Structures and Algorithms Made Easy,Chris Albon,14,68.2,47.52,954.8,665.28,289.52,30.32
141,26,Male,Canada,95564,Data Structures and Algorithms Made Easy,Steven Skiena,16,95.78,45.93,1532.48,734.88,797.6,52.05
142,32,Female,India,97984,Introduction to Algorithms,Steven Skiena,13,48.19,28.99,626.47,376.87,249.6,39.84
143,32,Female,Canada,79792,Advanced Algorithms,Thomas H. Cormen,4,51.8,21.53,207.2,86.12,121.08,58.44
144,43,Male,Canada,65253,Algorithms Illuminated,Steven Skiena,11,112.46,48.82,1237.06,537.02,700.04,56.59
145,59,Female,Australia,54051,Algorithms Unlocked,Aditya Bhargava,17,25.62,10.28,435.54,174.76,260.78,59.88
146,30,Male,UK,69811,Algorithms Illuminated,Magnus Lie Hetland,7,68.56,47.98,479.92,335.86,144.06,30.02
147,49,Male,Australia,50447,Competitive Programming Algorithms,Steven Skiena,14,111.28,71.3,1557.92,998.2,559.72,35.93
148,56,Male,UK,103930,Data Structures and Algorithms Made Easy,Narasimha Karumanchi,11,81.04,51.54,891.44,566.94,324.5,36.4
149,49,Male,UK,50254,Algorithms in Python,Magnus Lie Hetland,9,74.64,41.27,671.76,371.43,300.33,44.71
150,21,Female,USA,104045,Competitive Programming Algorithms,Steven Skiena,13,44.97,22.04,584.61,286.52,298.09,50.99
151,47,Female,Germany,77418,Competitive Programming Algorithms,Narasimha Karumanchi,18,54.33,24.2,977.94,435.6,542.34,55.46
152,54,Female,USA,34472,Introduction to Algorithms,Narasimha Karumanchi,11,105.2,51.06,1157.2,561.66,595.54,51.46
153,40,Male,Germany,23471,The Algorithm Design Manual,Tim Roughgarden,15,75.92,38.93,1138.8,583.95,554.85,48.72
154,56,Male,Australia,115804,Competitive Programming Algorithms,Thomas H. Cormen,19,71.47,44.8,1357.93,851.2,506.73,37.32
155,62,Male,Germany,28329,Algorithms Unlocked,Thomas H. Cormen,1,29.96,16.83,29.96,16.83,13.13,43.83
156,32,Female,Australia,54865,Grokking Algorithms,Aditya Bhargava,4,21.6,9.14,86.4,36.56,49.84,57.69
157,60,Male,Canada,66850,Grokking Algorithms,Robert Sedgewick,14,116.37,47.18,1629.18,660.52,968.66,59.46
158,46,Female,Canada,74220,Algorithms Unlocked,Chris Albon,14,57.7,24.85,807.8,347.9,459.9,56.93
159,53,Female,Germany,113808,The Algorithm Design Manual,Steven Skiena,3,80.32,42.02,240.96,126.06,114.9,47.68
160,30,Female,Germany,26397,The Algorithm Design Manual,Steven Skiena,17,27.97,19.02,475.49,323.34,152.15,32.0
161,49,Female,Australia,117909,Introduction to Algorithms,Magnus Lie Hetland,3,88.31,52.21,264.93,156.63,108.3,40.88
162,24,Female,USA,55525,Data Structures and Algorithms Made Easy,Magnus Lie Hetland,16,113.26,72.55,1812.16,1160.8,651.36,35.94
163,39,Female,Australia,73072,Algorithms Illuminated,Chris Albon,14,77.57,41.88,1085.98,586.32,499.66,46.01
164,45,Male,USA,110106,The Algorithm Design Manual,Steven Skiena,13,32.61,16.58,423.93,215.54,208.39,49.16
165,19,Male,Canada,103820,Algorithms in Python,Steven Halim,15,78.17,33.81,1172.55,507.15,665.4,56.75
166,59,Female,UK,104530,Introduction to Algorithms,Aditya Bhargava,14,96.63,64.04,1352.82,896.56,456.26,33.73
167,62,Female,Germany,43284,Machine Learning Algorithms Explained,Steven Skiena,19,60.64,38.5,1152.16,731.5,420.66,36.51
168,23,Male,USA,81330,Advanced Algorithms,Thomas H. Cormen,6,107.98,48.64,647.88,291.84,356.04,54.95
169,45,Female,Australia,103369,Machine Learning Algorithms Explained,Chris Albon,10,84.87,46.99,848.7,469.9,378.8,44.63
170,45,Female,Canada,45122,Introduction to Algorithms,Steven Halim,15,109.92,60.04,1648.8,900.6,748.2,45.38
171,61,Male,USA,90553,Competitive Programming Algorithms,Aditya Bhargava,6,82.35,48.38,494.1,290.28,203.82,41.25
172,61,Female,Australia,101906,Algorithms Illuminated,Steven Skiena,10,33.13,22.66,331.3,226.6,104.7,31.6
173,37,Female,Germany,114788,Advanced Algorithms,Robert Sedgewick,7,50.97,29.25,356.79,204.75,152.04,42.61
174,47,Female,Germany,82812,Machine Learning Algorithms Explained,Tim Roughgarden,17,40.18,22.58,683.06,383.86,299.2,43.8
175,28,Male,India,27999,Advanced Algorithms,Thomas H. Cormen,18,110.88,46.03,1995.84,828.54,1167.3,58.49
176,45,Male,UK,42436,Algorithms in Python,Robert Sedgewick,17,96.04,40.23,1632.68,683.91,948.77,58.11
177,42,Male,India,62963,Algorithms in Python,Magnus Lie Hetland,9,87.64,39.98,788.76,359.82,428.94,54.38
178,56,Female,Canada,22096,Algorithms in Python,Magnus Lie Hetland,10,50.1,20.53,501.0,205.3,295.7,59.02
179,50,Female,USA,45279,Introduction to Algorithms,Steven Skiena,10,38.4,23.92,384.0,239.2,144.8,37.71
180,18,Male,Canada,46201,Algorithms Illuminated,Magnus Lie Hetland,7,95.65,59.02,669.55,413.14,256.41,38.3
181,44,Female,Australia,39715,Introduction to Algorithms,Thomas H. Cormen,16,67.42,29.72,1078.72,475.52,603.2,55.92
182,30,Female,Germany,49309,Grokking Algorithms,Aditya Bhargava,18,42.58,27.71,766.44,498.78,267.66,34.92
183,58,Female,India,35078,Competitive Programming Algorithms,Narasimha Karumanchi,6,81.66,36.46,489.96,218.76,271.2,55.35
184,20,Female,India,76614,Competitive Programming Algorithms,Thomas H. Cormen,1,24.03,11.78,24.03,11.78,12.25,50.98
185,56,Female,India,25105,Algorithms in Python,Chris Albon,1,52.62,24.98,52.62,24.98,27.64,52.53
186,23,Male,Canada,114848,Grokking Algorithms,Aditya Bhargava,12,66.86,34.21,802.32,410.52,391.8,48.83
187,25,Female,Germany,22839,The Algorithm Design Manual,Narasimha Karumanchi,2,34.8,16.58,69.6,33.16,36.44,52.36
188,44,Male,USA,88920,The Algorithm Design Manual,Steven Halim,4,118.47,64.77,473.88,259.08,214.8,45.33
189,26,Female,Australia,63619,Algorithms in Python,Thomas H. Cormen,17,40.91,21.36,695.47,363.12,332.35,47.79
190,54,Male,USA,62821,Machine Learning Algorithms Explained,Robert Sedgewick,4,33.04,22.99,132.16,91.96,40.2,30.42
191,50,Female,Canada,33493,Introduction to Algorithms,Narasimha Karumanchi,11,40.35,16.82,443.85,185.02,258.83,58.31
192,59,Male,Australia,37069,Algorithms in Python,Thomas H. Cormen,4,96.91,42.9,387.64,171.6,216.04,55.73
193,61,Female,India,27531,Data Structures and Algorithms Made Easy,Tim Roughgarden,1,62.55,26.01,62.55,26.01,36.54,58.42
194,41,Male,UK,57051,Advanced Algorithms,Robert Sedgewick,7,76.54,44.99,535.78,314.93,220.85,41.22
195,32,Female,Canada,27736,Competitive Programming Algorithms,Magnus Lie Hetland,18,22.1,9.2,397.8,165.6,232.2,58.37
196,49,Male,Canada,27710,The Algorithm Design Manual,Magnus Lie Hetland,9,23.44,15.26,210.96,137.34,73.62,34.9
197,49,Female,Germany,87155,Algorithms Unlocked,Robert Sedgewick,3,64.58,35.75,193.74,107.25,86.49,44.64
198,41,Male,USA,33975,The Algorithm Design Manual,Steven Halim,8,101.67,56.74,813.36,453.92,359.44,44.19
199,58,Male,Canada,82424,Competitive Programming Algorithms,Steven Halim,19,108.52,61.69,2061.88,1172.11,889.77,43.15
200,29,Female,Canada,65603,Advanced Algorithms,Steven Halim,4,28.67,12.94,114.68,51.76,62.92,54.87
201,56,Female,India,43252,Competitive Programming Algorithms,Narasimha Karumanchi,18,73.84,33.92,1329.12,610.56,718.56,54.06
202,19,Male,India,100797,Algorithms Unlocked,Chris Albon,11,111.32,55.18,1224.52,606.98,617.54,50.43
203,20,Female,Australia,21431,Algorithms in Python,Narasimha Karumanchi,14,58.8,33.99,823.2,475.86,347.34,42.19
204,54,Male,UK,94603,Grokking Algorithms,Steven Skiena,18,102.96,47.67,1853.28,858.06,995.22,53.7
205,34,Male,Germany,57481,Algorithms Unlocked,Thomas H. Cormen,16,33.37,14.51,533.92,232.16,301.76,56.52
206,19,Male,UK,112573,Competitive Programming Algorithms,Robert Sedgewick,3,113.54,78.46,340.62,235.38,105.24,30.9
207,19,Female,Australia,29557,Competitive Programming Algorithms,Aditya Bhargava,15,95.14,38.68,1427.1,580.2,846.9,59.34
208,45,Male,India,94971,Data Structures and Algorithms Made Easy,Thomas H. Cormen,4,114.13,73.14,456.52,292.56,163.96,35.92
209,40,Male,USA,20162,Data Structures and Algorithms Made Easy,Tim Roughgarden,5,87.66,55.79,438.3,278.95,159.35,36.36
210,54,Female,India,54742,Algorithms Illuminated,Narasimha Karumanchi,17,56.34,27.56,957.78,468.52,489.26,51.08
211,49,Female,Germany,39675,Data Structures and Algorithms Made Easy,Narasimha Karumanchi,7,113.82,50.16,796.74,351.12,445.62,55.93
212,50,Female,India,93997,Introduction to Algorithms,Thomas H. Cormen,16,47.56,21.1,760.96,337.6,423.36,55.63
213,18,Female,Germany,37015,Grokking Algorithms,Thomas H. Cormen,14,53.22,32.42,745.08,453.88,291.2,39.08
214,36,Male,Germany,70057,Advanced Algorithms,Thomas H. Cormen,16,90.08,53.4,1441.28,854.4,586.88,40.72
215,19,Male,Germany,52591,Algorithms Unlocked,Aditya Bhargava,7,96.53,61.28,675.71,428.96,246.75,36.52
216,61,Male,Australia,113583,Competitive Programming Algorithms,Thomas H. Cormen,9,112.94,76.94,1016.46,692.46,324.0,31.88
217,43,Male,Germany,29833,Algorithms Illuminated,Thomas H. Cormen,4,40.48,24.59,161.92,98.36,63.56,39.25
218,49,Female,Germany,27896,Algorithms Illuminated,Robert Sedgewick,11,99.8,44.59,1097.8,490.49,607.31,55.32
219,23,Male,USA,52972,Advanced Algorithms,Tim Roughgarden,2,93.85,44.39,187.7,88.78,98.92,52.7
220,49,Male,UK,69733,Grokking Algorithms,Narasimha Karumanchi,12,26.38,17.22,316.56,206.64,109.92,34.72
221,21,Female,Canada,61800,Algorithms Unlocked,Aditya Bhargava,12,58.72,27.18,704.64,326.16,378.48,53.71
222,28,Male,UK,116044,The Algorithm Design Manual,Narasimha Karumanchi,4,48.28,20.36,193.12,81.44,111.68,57.83
223,34,Male,Germany,25347,Data Structures and Algorithms Made Easy,Steven Skiena,18,50.45,30.82,908.1,554.76,353.34,38.91
224,55,Male,USA,79063,Algorithms in Python,Tim Roughgarden,7,118.29,61.6,828.03,431.2,396.83,47.92
225,41,Male,India,115850,Algorithms Illuminated,Chris Albon,1,84.28,56.97,84.28,56.97,27.31,32.4
